timestamp,hour,day_of_week,occupancy,electricity_usage,water_usage,waste_generated
2024-01-01 00:00:00,0,0,0.17,25.13,10.26,6.93
2024-01-01 01:00:00,1,0,0.11,16.92,16.92,3.77
2024-01-01 02:00:00,2,0,0.16,34.23,6.49,6.29
2024-01-01 03:00:00,3,0,0.14,36.44,10.84,5.13
2024-01-01 04:00:00,4,0,0.17,36.21,12.52,3.35
2024-01-01 05:00:00,5,0,0.17,36.87,13.23,7.04
2024-01-01 06:00:00,6,0,0.2,61.94,19.08,7.6
2024-01-01 07:00:00,7,0,0.12,60.96,25.6,7.7
2024-01-01 08:00:00,8,0,0.83,62.96,26.97,12.02
2024-01-01 09:00:00,9,0,0.71,61.87,25.08,7.11
2024-01-01 10:00:00,10,0,0.87,73.78,17.1,12.51
2024-01-01 11:00:00,11,0,0.89,85.08,10.55,8.43
2024-01-01 12:00:00,12,0,0.78,77.97,12.07,12.46
2024-01-01 13:00:00,13,0,0.77,75.02,10.02,13.42
2024-01-01 14:00:00,14,0,0.74,72.53,12.73,10.77
2024-01-01 15:00:00,15,0,0.88,63.43,8.72,11.01
2024-01-01 16:00:00,16,0,0.75,64.69,7.43,14.36
2024-01-01 17:00:00,17,0,0.83,43.22,12.99,11.27
2024-01-01 18:00:00,18,0,0.86,47.31,23.59,0.0
2024-01-01 19:00:00,19,0,0.12,47.18,28.45,16.35
2024-01-01 20:00:00,20,0,0.19,40.52,37.39,14.26
2024-01-01 21:00:00,21,0,0.11,33.78,26.71,15.95
2024-01-01 22:00:00,22,0,0.14,28.29,17.88,16.29
2024-01-01 23:00:00,23,0,0.16,18.32,9.55,18.8
2024-01-02 00:00:00,0,1,0.11,26.52,9.11,4.87
2024-01-02 01:00:00,1,1,0.19,25.4,12.73,3.19
2024-01-02 02:00:00,2,1,0.11,24.17,6.66,4.23
2024-01-02 03:00:00,3,1,0.19,25.59,8.73,7.87
2024-01-02 04:00:00,4,1,0.15,36.26,12.98,6.04
2024-01-02 05:00:00,5,1,0.17,43.72,14.55,11.15
2024-01-02 06:00:00,6,1,0.13,56.32,15.65,10.02
2024-01-02 07:00:00,7,1,0.11,61.46,25.25,9.33
2024-01-02 08:00:00,8,1,0.79,59.09,25.49,8.83
2024-01-02 09:00:00,9,1,0.79,73.51,31.92,9.69
2024-01-02 10:00:00,10,1,0.71,77.68,16.73,8.11
2024-01-02 11:00:00,11,1,0.86,79.73,6.58,13.18
2024-01-02 12:00:00,12,1,0.85,80.58,10.57,10.93
2024-01-02 13:00:00,13,1,0.79,74.7,6.89,11.37
2024-01-02 14:00:00,14,1,0.89,84.76,13.76,8.68
2024-01-02 15:00:00,15,1,0.74,70.43,17.66,12.59
2024-01-02 16:00:00,16,1,0.89,68.5,11.22,12.45
2024-01-02 17:00:00,17,1,0.84,43.77,13.99,13.24
2024-01-02 18:00:00,18,1,0.72,51.09,15.85,0.0
2024-01-02 19:00:00,19,1,0.15,29.82,26.63,17.05
2024-01-02 20:00:00,20,1,0.15,34.48,26.99,15.26
2024-01-02 21:00:00,21,1,0.13,26.3,27.04,15.51
2024-01-02 22:00:00,22,1,0.18,16.1,18.09,20.36
2024-01-02 23:00:00,23,1,0.14,24.62,8.54,17.84
2024-01-03 00:00:00,0,2,0.13,16.12,11.35,5.34
2024-01-03 01:00:00,1,2,0.14,15.17,9.39,7.55
2024-01-03 02:00:00,2,2,0.17,29.41,10.91,8.59
2024-01-03 03:00:00,3,2,0.19,33.65,8.83,8.63
2024-01-03 04:00:00,4,2,0.16,24.04,9.51,8.32
2024-01-03 05:00:00,5,2,0.13,48.15,9.5,7.02
2024-01-03 06:00:00,6,2,0.12,51.8,20.66,8.48
2024-01-03 07:00:00,7,2,0.14,50.78,28.97,11.96
2024-01-03 08:00:00,8,2,0.87,70.0,30.04,10.97
2024-01-03 09:00:00,9,2,0.78,75.32,27.7,11.97
2024-01-03 10:00:00,10,2,0.77,72.53,15.78,11.38
2024-01-03 11:00:00,11,2,0.81,73.8,14.46,12.02
2024-01-03 12:00:00,12,2,0.88,76.46,10.01,10.47
2024-01-03 13:00:00,13,2,0.78,75.06,12.01,12.23
2024-01-03 14:00:00,14,2,0.89,79.69,8.9,9.33
2024-01-03 15:00:00,15,2,0.74,64.55,12.22,10.86
2024-01-03 16:00:00,16,2,0.72,63.46,11.31,12.65
2024-01-03 17:00:00,17,2,0.83,54.49,13.13,15.82
2024-01-03 18:00:00,18,2,0.75,42.54,16.99,0.0
2024-01-03 19:00:00,19,2,0.2,36.53,32.72,14.73
2024-01-03 20:00:00,20,2,0.15,38.52,34.3,17.96
2024-01-03 21:00:00,21,2,0.17,33.67,34.77,16.59
2024-01-03 22:00:00,22,2,0.18,25.4,17.25,17.5
2024-01-03 23:00:00,23,2,0.19,18.57,12.73,18.83
2024-01-04 00:00:00,0,3,0.12,18.46,10.74,8.45
2024-01-04 01:00:00,1,3,0.19,21.69,9.73,1.91
2024-01-04 02:00:00,2,3,0.14,18.61,6.73,7.47
2024-01-04 03:00:00,3,3,0.14,23.63,7.25,6.13
2024-01-04 04:00:00,4,3,0.18,38.42,10.36,6.0
2024-01-04 05:00:00,5,3,0.15,47.36,14.92,7.73
2024-01-04 06:00:00,6,3,0.11,52.17,14.36,3.62
2024-01-04 07:00:00,7,3,0.15,56.82,24.9,11.23
2024-01-04 08:00:00,8,3,0.71,69.08,29.72,8.89
2024-01-04 09:00:00,9,3,0.78,73.07,26.21,9.78
2024-01-04 10:00:00,10,3,0.76,68.61,9.63,11.95
2024-01-04 11:00:00,11,3,0.84,85.13,14.3,9.29
2024-01-04 12:00:00,12,3,0.77,87.31,8.02,10.5
2024-01-04 13:00:00,13,3,0.73,71.0,2.68,8.43
